hazard,NAME_3,prob,risk,narasi
longsor,Bajo,1.0,high,"Wilayah Bajo diprediksi memiliki risiko longsor tinggi dengan probabilitas 100.0%, jauh di atas rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.786 (indeks 0–1)) menjadi faktor pendorong utama risiko; curah hujan tahunan (3113 mm/tahun) turut berkontribusi; sementara kemiringan lereng (10.7 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Bajo Barat,0.2611,medium,"Wilayah Bajo Barat diprediksi memiliki risiko longsor sedang dengan probabilitas 26.1%, di bawah rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.462 (indeks 0–1)) menjadi faktor pendorong utama risiko; curah hujan tahunan (3394 mm/tahun) turut berkontribusi; sementara kemiringan lereng (14.9 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Bassesangtempe,0.7686,high,"Wilayah Bassesangtempe diprediksi memiliki risiko longsor tinggi dengan probabilitas 76.9%, jauh di atas rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.670 (indeks 0–1)) menjadi faktor pendorong utama risiko; kemiringan lereng (23.1 °) turut berkontribusi; sementara arah lereng (155.7 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Bua,0.6533,high,"Wilayah Bua diprediksi memiliki risiko longsor tinggi dengan probabilitas 65.3%, di atas rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.600 (indeks 0–1)) menjadi faktor pendorong utama risiko; kemiringan lereng (23.7 °) turut berkontribusi; sementara arah lereng (168.4 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Bupon,0.6668,high,"Wilayah Bupon diprediksi memiliki risiko longsor tinggi dengan probabilitas 66.7%, di atas rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.505 (indeks 0–1)) menjadi faktor pendorong utama risiko; jarak ke sungai terdekat (0.78 km) turut berkontribusi; sementara kemiringan lereng (17.5 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Kamanre,1.0,high,"Wilayah Kamanre diprediksi memiliki risiko longsor tinggi dengan probabilitas 100.0%, jauh di atas rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.754 (indeks 0–1)) menjadi faktor pendorong utama risiko; jarak ke sungai terdekat (1.26 km) turut berkontribusi; sementara kemiringan lereng (11.0 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Larompong,0.7667,high,"Wilayah Larompong diprediksi memiliki risiko longsor tinggi dengan probabilitas 76.7%, jauh di atas rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.542 (indeks 0–1)) menjadi faktor pendorong utama risiko; kemiringan lereng (29.1 °) turut berkontribusi; sementara arah lereng (121.6 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Larompong Selatan,0.2144,medium,"Wilayah Larompong Selatan diprediksi memiliki risiko longsor sedang dengan probabilitas 21.4%, di bawah rata-rata regional (41.6%). Kemiringan lereng (26.6 °) menjadi faktor pendorong utama risiko; jarak ke sungai terdekat (1.31 km) turut berkontribusi; sementara tutupan vegetasi (NDVI) (0.127 (indeks 0–1)) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan pemasangan sistem peringatan dini dan pembatasan aktivitas di lereng curam (Sendai Framework Priority 1: Understanding DRR)."
longsor,Latimojong,0.8025,high,"Wilayah Latimojong diprediksi memiliki risiko longsor tinggi dengan probabilitas 80.2%, jauh di atas rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.642 (indeks 0–1)) menjadi faktor pendorong utama risiko; kemiringan lereng (22.6 °) turut berkontribusi; sementara arah lereng (216.0 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Suli,1.0,high,"Wilayah Suli diprediksi memiliki risiko longsor tinggi dengan probabilitas 100.0%, jauh di atas rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.863 (indeks 0–1)) menjadi faktor pendorong utama risiko; kemiringan lereng (19.6 °) turut berkontribusi. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Suli Barat,0.837,high,"Wilayah Suli Barat diprediksi memiliki risiko longsor tinggi dengan probabilitas 83.7%, jauh di atas rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.656 (indeks 0–1)) menjadi faktor pendorong utama risiko; curah hujan tahunan (3380 mm/tahun) turut berkontribusi; sementara arah lereng (154.9 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Walenrang,1.0,high,"Wilayah Walenrang diprediksi memiliki risiko longsor tinggi dengan probabilitas 100.0%, jauh di atas rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.656 (indeks 0–1)) menjadi faktor pendorong utama risiko; kemiringan lereng (24.6 °) turut berkontribusi; sementara arah lereng (122.0 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Walenrang Barat,0.6345,high,"Wilayah Walenrang Barat diprediksi memiliki risiko longsor tinggi dengan probabilitas 63.4%, di atas rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.592 (indeks 0–1)) menjadi faktor pendorong utama risiko; kemiringan lereng (20.7 °) turut berkontribusi; sementara arah lereng (183.0 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Walenrang Utara,0.7209,high,"Wilayah Walenrang Utara diprediksi memiliki risiko longsor tinggi dengan probabilitas 72.1%, jauh di atas rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.436 (indeks 0–1)) menjadi faktor pendorong utama risiko; kemiringan lereng (23.5 °) turut berkontribusi; sementara arah lereng (118.6 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Angkona,0.5,medium,"Wilayah Angkona diprediksi memiliki risiko longsor sedang dengan probabilitas 50.0%, di atas rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.557 (indeks 0–1)) menjadi faktor pendorong utama risiko; jarak ke sungai terdekat (1.40 km) turut berkontribusi; sementara curah hujan tahunan (3934 mm/tahun) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Burau,0.5,medium,"Wilayah Burau diprediksi memiliki risiko longsor sedang dengan probabilitas 50.0%, di atas rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.579 (indeks 0–1)) menjadi faktor pendorong utama risiko; kemiringan lereng (24.1 °) turut berkontribusi; sementara arah lereng (183.0 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Malili,0.5336,medium,"Wilayah Malili diprediksi memiliki risiko longsor sedang dengan probabilitas 53.4%, di atas rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.505 (indeks 0–1)) menjadi faktor pendorong utama risiko; jarak ke sungai terdekat (0.68 km) turut berkontribusi; sementara arah lereng (195.3 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Mangkutana,0.5305,medium,"Wilayah Mangkutana diprediksi memiliki risiko longsor sedang dengan probabilitas 53.0%, di atas rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.554 (indeks 0–1)) menjadi faktor pendorong utama risiko; curah hujan tahunan (3390 mm/tahun) turut berkontribusi; sementara arah lereng (134.3 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Nuha,0.4198,medium,"Wilayah Nuha diprediksi memiliki risiko longsor sedang dengan probabilitas 42.0%, mendekati rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.477 (indeks 0–1)) menjadi faktor pendorong utama risiko; kemiringan lereng (24.4 °) turut berkontribusi; sementara arah lereng (175.7 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Tomoni,1.0,high,"Wilayah Tomoni diprediksi memiliki risiko longsor tinggi dengan probabilitas 100.0%, jauh di atas rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.604 (indeks 0–1)) menjadi faktor pendorong utama risiko; kemiringan lereng (20.0 °) turut berkontribusi; sementara arah lereng (171.6 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Towuti,0.4118,medium,"Wilayah Towuti diprediksi memiliki risiko longsor sedang dengan probabilitas 41.2%, mendekati rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.487 (indeks 0–1)) menjadi faktor pendorong utama risiko; jarak ke sungai terdekat (0.78 km) turut berkontribusi; sementara arah lereng (190.8 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Wasuponda,0.3179,medium,"Wilayah Wasuponda diprediksi memiliki risiko longsor sedang dengan probabilitas 31.8%, di bawah rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.430 (indeks 0–1)) menjadi faktor pendorong utama risiko; kemiringan lereng (20.1 °) turut berkontribusi; sementara arah lereng (160.8 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Baebunta,0.5,medium,"Wilayah Baebunta diprediksi memiliki risiko longsor sedang dengan probabilitas 50.0%, di atas rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.480 (indeks 0–1)) menjadi faktor pendorong utama risiko; arah lereng (283.9 °) turut berkontribusi. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Bone-Bone,1.0,high,"Wilayah Bone-Bone diprediksi memiliki risiko longsor tinggi dengan probabilitas 100.0%, jauh di atas rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.815 (indeks 0–1)) menjadi faktor pendorong utama risiko; kemiringan lereng (30.4 °) turut berkontribusi; sementara arah lereng (230.6 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Limbong,0.472,medium,"Wilayah Limbong diprediksi memiliki risiko longsor sedang dengan probabilitas 47.2%, di atas rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.477 (indeks 0–1)) menjadi faktor pendorong utama risiko; jarak ke sungai terdekat (0.80 km) turut berkontribusi; sementara arah lereng (149.9 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Masamba,0.6312,high,"Wilayah Masamba diprediksi memiliki risiko longsor tinggi dengan probabilitas 63.1%, di atas rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.504 (indeks 0–1)) menjadi faktor pendorong utama risiko; kemiringan lereng (22.1 °) turut berkontribusi; sementara arah lereng (189.1 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Rampi,0.1278,low,"Wilayah Rampi diprediksi memiliki risiko longsor rendah dengan probabilitas 12.8%, jauh di bawah rata-rata regional (41.6%). Kondisi tutupan vegetasi (NDVI) (0.388 (indeks 0–1)) dan karakteristik wilayah secara keseluruhan bersifat protektif terhadap risiko longsor. Untuk pengurangan risiko bencana, direkomendasikan pemantauan berkala perubahan tata guna lahan dan penguatan sistem peringatan dini sebagai langkah antisipasi (Sendai Framework Priority 4: Enhancing Preparedness)."
longsor,Sabbang,0.4027,medium,"Wilayah Sabbang diprediksi memiliki risiko longsor sedang dengan probabilitas 40.3%, mendekati rata-rata regional (41.6%). Kemiringan lereng (25.1 °) menjadi faktor pendorong utama risiko; jarak ke sungai terdekat (0.69 km) turut berkontribusi; sementara tutupan vegetasi (NDVI) (0.369 (indeks 0–1)) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan pemasangan sistem peringatan dini dan pembatasan aktivitas di lereng curam (Sendai Framework Priority 1: Understanding DRR)."
longsor,Seko,0.303,medium,"Wilayah Seko diprediksi memiliki risiko longsor sedang dengan probabilitas 30.3%, di bawah rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.437 (indeks 0–1)) menjadi faktor pendorong utama risiko; curah hujan tahunan (2867 mm/tahun) turut berkontribusi; sementara arah lereng (190.7 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Sukamaju,0.3407,medium,"Wilayah Sukamaju diprediksi memiliki risiko longsor sedang dengan probabilitas 34.1%, di bawah rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.546 (indeks 0–1)) menjadi faktor pendorong utama risiko; kemiringan lereng (21.4 °) turut berkontribusi; sementara arah lereng (232.7 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
banjir,Bajo,0.8887,high,"Wilayah Bajo diprediksi memiliki risiko banjir tinggi dengan probabilitas 88.9%, jauh di atas rata-rata regional (45.2%). Ketinggian wilayah (99.6 m dpl) menjadi faktor pendorong utama risiko; indeks topografi basah (15.569 (indeks)) turut berkontribusi; sementara tutupan vegetasi (NDVI) (0.605 (indeks 0–1)) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penataan ruang berbasis ketinggian dan peningkatan kapasitas drainase di kawasan dataran rendah rawan banjir (BNPB Pedoman Perencanaan Penanggulangan Bencana Banjir)."
banjir,Bajo Barat,0.1023,low,"Wilayah Bajo Barat diprediksi memiliki risiko banjir rendah dengan probabilitas 10.2%, jauh di bawah rata-rata regional (45.2%). Jarak ke sungai terdekat (1.07 km) menjadi faktor pendorong utama risiko; sementara indeks topografi basah (14.729 (indeks)) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penetapan zona sempadan sungai dan penataan permukiman berbasis risiko banjir (Sendai Framework Priority 2: Strengthening DRR Governance)."
banjir,Bassesangtempe,0.0093,low,"Wilayah Bassesangtempe diprediksi memiliki risiko banjir rendah dengan probabilitas 0.9%, jauh di bawah rata-rata regional (45.2%). Jarak ke sungai terdekat (1.36 km) menjadi faktor pendorong utama risiko; sementara indeks topografi basah (14.395 (indeks)) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penetapan zona sempadan sungai dan penataan permukiman berbasis risiko banjir (Sendai Framework Priority 2: Strengthening DRR Governance)."
banjir,Belopa,0.9483,high,"Wilayah Belopa diprediksi memiliki risiko banjir tinggi dengan probabilitas 94.8%, jauh di atas rata-rata regional (45.2%). Ketinggian wilayah (29.7 m dpl) menjadi faktor pendorong utama risiko; tutupan vegetasi (NDVI) (0.476 (indeks 0–1)) turut berkontribusi. Untuk pengurangan risiko bencana, direkomendasikan penataan ruang berbasis ketinggian dan peningkatan kapasitas drainase di kawasan dataran rendah rawan banjir (BNPB Pedoman Perencanaan Penanggulangan Bencana Banjir)."
banjir,Belopa Utara,0.95,high,"Wilayah Belopa Utara diprediksi memiliki risiko banjir tinggi dengan probabilitas 95.0%, jauh di atas rata-rata regional (45.2%). Ketinggian wilayah (13.5 m dpl) menjadi faktor pendorong utama risiko; tutupan vegetasi (NDVI) (0.365 (indeks 0–1)) turut berkontribusi. Untuk pengurangan risiko bencana, direkomendasikan penataan ruang berbasis ketinggian dan peningkatan kapasitas drainase di kawasan dataran rendah rawan banjir (BNPB Pedoman Perencanaan Penanggulangan Bencana Banjir)."
banjir,Bua,0.2436,medium,"Wilayah Bua diprediksi memiliki risiko banjir sedang dengan probabilitas 24.4%, di bawah rata-rata regional (45.2%). Arah lereng (155.6 °) menjadi faktor pendorong utama risiko; jarak ke sungai terdekat (1.26 km) turut berkontribusi; sementara indeks topografi basah (15.083 (indeks)) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan pemetaan jalur evakuasi berbasis arah lereng dan potensi aliran material (Sendai Framework Priority 4: Enhancing Preparedness)."
