NAME_3,shap_elevasi,shap_aspect,shap_twi,shap_curah_hujan,shap_ndvi,shap_jarak_sungai_km,val_elevasi,val_aspect,val_twi,val_curah_hujan,val_ndvi,val_jarak_sungai_km
Bajo,0.1583663534345341,0.025511913295927984,0.10502401162859254,0.0034000472273168552,-0.010464475743759005,0.02240710253216679,99.62587079204206,150.09617521906873,15.568533244355953,3017.1734612449472,0.604637512132872,1.013830589060744
Bajo Barat,-0.06581678572996023,-0.026259529805965895,-0.1469473248767605,-0.006294366573944961,-0.10941232915941435,0.015281614595888797,320.342450212966,168.36840404615106,14.72894169295295,3048.0083662577053,0.7072451299614178,1.0718505411306318
Bassesangtempe,-0.1296026666166979,-0.026479366904684984,-0.1444364679447685,-0.004008530836484133,-0.06389742509751932,0.014013185547655523,821.4759381344568,172.6787683827782,14.3951543247166,2972.382703167013,0.6623110573803754,1.3621949905837965
Belopa,0.14910486633198722,0.031241897597340845,0.12458607940463448,0.004908734055521121,0.13134646183241344,0.02070258787064882,29.7301587024673,161.65165826538436,16.067228732460645,2944.1015598877166,0.4757202811356327,1.5911250825202528
Belopa Utara,0.15540023875678574,0.03149481927883395,0.1250144869758992,0.004908734055521121,0.1343158730505601,0.0204988388381888,13.450292238575477,160.72077765240434,16.331212105080894,3005.8179020989205,0.3650811618571302,0.6793676517727596
Bua,-0.06824362664445709,0.01955010298086605,-0.15414911204634113,-0.007239294376997734,-0.011244805311780737,0.013625550983002324,334.0264193176511,155.61241781561904,15.08286059618905,3060.756454302912,0.5986466669012036,1.2580128657455203
Bupon,-0.0047510007363970805,0.02126724397376999,0.010767139386214592,-0.017626199462498587,-0.09432840996588963,-0.03447236342229573,232.28590635925656,157.35186756604986,15.341068119633851,3122.327251613104,0.6745078292581421,0.0391987506777329
Kamanre,0.15540023875678574,0.03149481927883395,0.12417937925955069,0.002083292768847388,0.13432977108550276,0.017233156108220366,15.477400104119631,160.1061012520456,16.709497695543956,3078.375200902311,0.4380578473918548,0.6198080423047295
Lamasi,0.1409807667846026,0.002187900982572961,0.11598445247263903,0.005107320442776212,0.07498242508173565,0.019435086999973327,27.964983327634723,163.89102139565423,16.62698911852178,3824.587781216301,0.5768903401837455,1.1775356466231972
Lamasi Timur,0.15173482170134603,0.025605074103374495,0.12344514656103223,-0.00903034416111607,0.13146311425582483,0.020622641362130874,11.785459127754208,157.01451299399446,16.87756318007665,3661.6636595550663,0.5127154238128976,1.4464396646206434
Larompong,-0.12696996050129433,0.02009685781333517,-0.1448888906613799,-0.0021695295653772428,0.0330332502743488,-0.029426913176687164,425.44859824308793,156.06988289039742,14.769084474626034,2844.970785136631,0.5932891710833965,0.1633471898806179
Larompong Selatan,0.16175783205376895,-0.0038222935913102473,-0.007311302325936162,0.0033628210225082325,-0.061183089617258775,0.02026158469228983,116.65604607248028,167.13209136911297,15.22623707827497,2854.9635851111243,0.65647380685652,1.715459154358634
Latimojong,-0.12854605937078464,0.02003152631943225,-0.15800646390439854,-0.0024927906221055996,0.13970061234156514,0.017240543349843256,1352.6864512192135,151.33610898775268,14.202115761987445,2769.4885014671463,0.5358420485420579,1.8640784614965775
Ponrang,0.08265516496111604,0.03257186048009876,0.10598021990106973,0.002886000553195783,0.13847528026564612,0.017864772019339382,173.46330592624238,158.50366581562346,15.569754978005127,3060.166431557631,0.4683329912477917,0.6230754301996149
Ponrang Selatan,0.15455341362424635,0.028405316189330867,0.1217332036823332,0.0013586988377076831,0.13466910609976038,-0.008048806967070572,15.470029214159409,162.929507285095,16.430595709699748,3098.847037810988,0.4156929915867245,0.4368167182659381
Suli,0.15001741183636944,0.0031071536875399517,0.11692060553449708,0.0048548857873871405,0.10807705244231444,0.0208567987391454,77.40245887694671,164.68334564179818,15.786801840991464,2858.455045314892,0.5693008284698509,1.4002581936281058
Suli Barat,-0.12564271567737678,0.02009685781333517,-0.14458113119395657,-0.00212417809145434,0.0683067358746911,-0.029426913176687164,589.8149427197565,154.5611784622303,14.508426876730253,2802.9049576368443,0.59071510412881,0.0375085124394045
Walenrang,-0.11597335904680407,0.01988813517980051,-0.14413656464731778,-0.018153775117026975,-0.10617846795071105,0.013451228428767939,359.5442291810382,147.6500942293376,15.139439210162964,3458.6486228592444,0.6821022272467032,0.7231874565187805
Walenrang Barat,-0.12792063060832262,-0.0017231078643942471,-0.14765748722436278,-0.018499443940956668,-0.10727543627687876,0.018978001671283003,1003.2239269351862,165.10895429736226,14.273159998833934,3413.193480902621,0.7349679224578688,1.4103339812112132
Walenrang Timur,0.15672172150683994,0.031203443987458664,0.12043270196890765,-0.011448675522461711,0.10946166734329946,-0.018333655434657016,18.584555719467037,160.48013427170443,16.3633976215183,3571.4331370638674,0.5686449040613312,0.2747217083132529
Walenrang Utara,-0.12525378030393908,0.019757313620407523,-0.1501652581760113,-0.015742920665356194,-0.1065881870182009,0.019336459638436616,526.4917834706959,153.2252485591277,14.702205683679637,3623.53976164258,0.7188871575633402,1.489754551956621
Angkona,0.13314260307673004,-0.03399181220856265,0.1089559045442064,0.015316361353982604,-0.06775134587256137,0.02256979531329825,148.9748757993592,174.98476745773263,15.75618033419986,3994.5656236456407,0.6710451450273279,0.8630339579479811
Burau,-0.12263546641081091,0.002714956160135941,-0.1308495016405137,0.011631231709147035,-0.06356588419443952,-0.0051336104632906535,518.410700839073,163.8225483470897,15.172608467310834,3727.285174473137,0.6501832993235866,0.5446096119353029
Danau,-0.06511932173336295,0.022665712206603544,0.1226426753416903,0.019322100544357346,0.14163526954176398,0.020348814285127675,319.12861947328463,2.966776200021495,20.68739831432257,3752.3323086548535,-0.1052364566043096,0.7038968335814761
Kalaena,0.014654657455851261,-0.035971803117124994,0.10385241495295798,0.02030058908290098,-0.06659859192726066,-0.03786626576905682,175.57129439604452,170.30807014809633,16.066764604100573,3903.5629161996703,0.6684419195148537,0.0446665583932871
Malili,-0.0028278055820022117,-0.02989011952366745,0.06344658714848415,0.02849040548063265,-0.07272523636021955,-0.016809743657975235,268.0236848531092,180.89289325283164,15.35434926774757,3872.632151023533,0.6733277072588433,0.2421680551634928
Mangkutana,-0.12688673505061754,-0.0037967749380613206,-0.13634210370609814,-0.017511291340637457,-0.10497720123617882,-0.023214767871988444,1096.5847438121386,165.8698920195163,14.868818062882251,3385.203811989404,0.7796774520557744,0.0638788494192085
Nuha,-0.12482855639380278,0.02325143600661306,0.11120095325384383,0.021076120132203828,0.08017113227031449,-0.006638553174139071,684.2248076256587,147.17839122600176,15.822565693892418,3728.043803739704,0.5855198087170459,0.4099989071756816
Tomoni,-0.12797660323232246,0.019931663080471264,-0.13918128927487555,-0.017314266143612263,-0.10428995197750096,-0.023126892784113354,1209.0982721122427,143.46766754392914,14.955114695156984,3516.538621693474,0.7364737863088915,0.056512288500305
Tomoni Timur,0.15151999584784018,0.023048369559559318,0.12073152504313041,0.010722139694813507,0.032466960024256176,0.020944645236376153,25.701977058270074,163.744624903488,16.769842045114075,4153.309553496182,0.593475853256945,0.6976079575349128
Towuti,-0.11971314225658929,-0.024181614799240567,-0.11775361066680413,-0.00735202243247769,-0.10250495815834568,-0.025335478998910747,554.1809771736217,179.28842416937368,15.176826593247815,3668.3451334275633,0.6991709940537728,0.2055409098919253
Wasuponda,-0.1267557742896657,-0.026193739833343624,-0.14245909614659935,-0.015129231387070643,-0.10692395603409417,0.014069462238934039,780.0812167153259,171.03868197075613,14.928019634227416,3644.661721873981,0.7684047588584697,1.3143638512900548
Wotu,0.1448638294345142,0.029371281441010404,0.120042409841969,0.00809540049198735,0.12786866794072618,0.021982371682265862,13.104221420465608,157.79873441753827,16.81629092222671,4077.8962712629577,0.5423033177449007,1.0540083989219202
Baebunta,0.15035052581602482,0.024222512081714734,0.11942749123068151,0.006878907118209041,-0.06367280381161007,0.022269818196382542,131.4737897050314,157.09303331431602,16.415510937327795,3808.551135324047,0.6543239964295888,1.730915611161571
Bone-Bone,-0.06520816901608778,-0.0019104891596923971,0.11076568283273246,0.021562874578585606,0.14236939495081197,0.009087392466983172,344.3639462664631,166.09054985216923,15.680794577408706,3775.110566919399,0.530012029567458,0.5838199613691972
Limbong,-0.1276224359726539,-0.026151586219761436,-0.13735279843826084,-0.01785215705417398,-0.10798103969391125,-0.007608393705146611,1741.813203056678,170.1109784393242,14.577622414745727,3122.223672616482,0.7761730643133252,0.4955878805563901
Malangke,0.14847198629650335,0.023977363189949304,0.11993881657335108,0.010218040619285863,0.05981249300276829,0.022845793974259582,10.048676461718534,153.694691952487,17.033821348704866,3860.5637763979935,0.5904074298817149,1.0341567104125045
Malangke Barat,0.14671480627845376,0.02538558459817071,0.11832697603293914,0.004834000056673872,0.07592339367948359,0.02232250773668763,11.495039683688857,156.9994914161188,16.90561759938648,3813.007301145298,0.5809349510466955,1.072705929104223
Mappedeceng,-0.12950761574847358,-0.03238116022899387,0.09729156621981383,-0.01618156890531252,-0.06630362133288954,-0.03719840775992897,397.7331250868593,183.2122214801672,15.622599033101409,3612.90600287292,0.646112233652384,0.1210240028510855
Masamba,-0.12479104473466926,-0.024181614799240567,-0.13089951238413441,-0.016912485384688647,-0.1042288295250742,-0.023561511075874505,1111.597979913407,178.05175719292274,14.649070569365715,3247.026450217667,0.7384163262992447,0.0079916762371984
Rampi,-0.12586173635481143,-0.026549283760316122,-0.13408095490231164,-0.004060933119871077,-0.10501226733559206,-0.019717283467910636,1572.968446138746,169.8072872016331,14.907325036602538,2805.9577458625454,0.8086332213536048,0.2305254876687888
Sabbang,-0.1244444740679839,-0.026549283760316122,-0.13147512724546356,-0.01746882173295046,-0.10431029567796893,-0.024984242933388967,663.3364351550824,169.4667415869087,14.879443789225324,3541.4906611234123,0.7515365177707688,0.0844729150443711
Seko,-0.12658874438951176,-0.023783917258685887,-0.138159697510466,-0.0041400896431269775,-0.10732609090120732,-0.007653454464493085,1580.3805069627176,183.54691358699807,14.75830001873602,2626.8048806082284,0.8002850234425065,0.4784817896558525
Sukamaju,-0.11959813469401055,-0.03190715011212661,0.10905963442574867,-0.012933791263124944,-0.06664568976860348,-0.006440436853573766,366.91244724982727,181.14195784794907,15.896660716722447,3667.964337787436,0.62759244007236,0.5674315721919266
