NAME_3,shap_elevasi,shap_slope,shap_aspect,shap_curah_hujan,shap_ndvi,shap_jarak_sungai_km,val_elevasi,val_slope,val_aspect,val_curah_hujan,val_ndvi,val_jarak_sungai_km
Bajo,-0.012647754007663882,-0.04644413257359542,-0.03588463526111304,0.01622240044041347,0.46199676245292465,0.007878613035631778,1863.0,10.693252563476562,149.01107788085938,3112.762574824004,0.785977840423584,0.8485860666785673
Bajo Barat,0.013740536292362753,-0.059225386533632754,-0.03918833365660294,0.014092386146892564,0.3703253155922661,0.011511406285118247,203.70022654742974,14.940945681083821,139.96538956888583,3393.918458354248,0.46228305895303573,0.9166420907111529
Bassesangtempe,0.0007327021617567886,0.033566158198151744,-0.03427905278694411,0.024731303378029524,0.429528178413484,0.013256855337970804,1042.1165695735806,23.111267920098733,155.7303982312667,2988.297059327596,0.6700604187140587,1.0251843031137198
Bua,-0.0015001993292668983,0.035692770787511055,-0.035072093780243514,0.02165586718046212,0.42608031607772273,0.0161129990908867,1114.7833834886335,23.68786185309261,168.37051614408523,3126.45252309934,0.599541658300439,1.140827291739694
Bupon,0.003331599909001586,-0.04149462015655648,-0.036020515208860855,0.0033574244060274832,0.4267244489600869,0.013049070694214503,478.7320668986852,17.539679095805937,209.42200946144052,3254.550718793534,0.5048832238727045,0.775464669709239
Kamanre,-0.002289149698060891,-0.04465903941308472,-0.022598642469263717,0.010767897911896312,0.4412357970128566,0.01516274737806669,1120.0,11.039454460144045,94.759521484375,3637.541019236206,0.754371702671051,1.2604932581134305
Larompong,0.002701790452498233,0.05744186491986641,-0.02871476729387799,0.015517873578754776,0.39473305661402364,0.014865815802234129,786.5327944614604,29.11530456192912,121.62211096347336,3133.9867894481595,0.5423352797577625,0.9664908452750542
Larompong Selatan,-0.003626281865836334,0.06790574709614756,-0.05846489287946642,0.014055131734385589,-0.12588241727974625,0.024435307515806807,1476.0,26.64845466613769,180.0,3432.445443501929,0.127499982714653,1.3105531603875051
Latimojong,-0.0019327514301005337,0.02799302838075932,-0.03934420786259272,0.01109483772305046,0.4379395943238185,0.014654838327684409,1169.391307683808,22.594568148256677,216.03753896886667,3166.0886924835813,0.6422444882007263,0.7239223060337119
Suli,0.00510680570080268,0.016935865890021627,0.0036663097162426186,0.010540997180206154,0.4118962708858669,0.015115707638250717,754.0,19.63799095153809,92.60013580322266,3509.8293661700563,0.8633269667625427,0.7960911093084844
Suli Barat,0.0015221437522770658,-0.03204669067595206,-0.03660669365503049,0.014183925191607808,0.46229590024113054,0.010745309831047671,849.8991289272273,17.903511619569024,154.90689173338873,3379.5108985609622,0.6559247541753889,0.8523115173023642
Walenrang,0.010443824059781571,0.02743945698625597,-0.030283045028256975,0.022939322842353456,0.4020122045297495,-0.005133373168869187,140.0,24.642690658569336,121.9591827392578,2869.3698498131707,0.6562073826789856,0.4077386465407469
Walenrang Barat,-0.0014936157939371953,0.02440112798657843,-0.03724020887653203,0.009139797763223914,0.44168882051995034,0.014185663064793646,1203.0729723354857,20.652265090225455,183.04320292799085,3343.2032669395576,0.591620141224153,0.8859037181168598
Walenrang Utara,0.004554446688313142,0.04512405699799531,-0.03871808245296891,-0.00012326499086222315,0.2541003618337697,0.01544759604121894,564.9879147320565,23.535370123965247,118.55363810180025,3248.872303009219,0.4361303786162524,0.8711477026832316
Angkona,0.0025333275972774533,-0.026348710356025335,-0.03802173063001604,-0.13675986704834192,0.3944642562440206,0.024369358561713152,661.8474144341865,18.114711158199885,187.44330368524945,3934.326128859656,0.5567727415493579,1.3975601428962952
Burau,0.007305855758759283,0.034354616544970414,-0.03622898015908319,0.010868797499879592,0.4264686020159789,0.01278322019018154,682.4975507504755,24.05109124118883,183.01191086431606,3376.8018044750906,0.5792747446533215,0.5312168856172786
Malili,0.0014763971137368756,-0.03840875109190115,-0.040034225467109504,0.009655211143091926,0.42846474276949165,0.013374319050754953,788.386221001197,18.001378154506146,195.34251684927315,3481.1352749574885,0.504846990914122,0.6752195252421332
Mangkutana,-0.002312778404118734,0.008493283002995147,-0.035356999106025494,0.015531713359053217,0.4355577400507409,0.015488277087555909,1187.6408703115683,18.63598041259434,134.31863339752664,3390.466168963216,0.5544524192573688,0.6895160689419898
Nuha,0.005110065435363812,0.039702730844894625,-0.03827202161927971,0.007433150912204189,0.40819394424866895,0.013301037525793648,939.5307196337067,24.42742465364875,175.67437444309792,3489.856525748477,0.4773431298611032,0.5261996119746037
Tomoni,0.004716999506541436,0.027586399810349414,-0.03546301103384134,0.012664048666738986,0.42661915341291123,0.01570347800764117,730.0,20.035971641540527,171.58718872070312,2805.4119823701913,0.6041381061077118,0.794306443856296
Towuti,0.0013391976995173946,-0.02528993364116856,-0.040555760630334704,0.002141874725572476,0.42497575867992005,0.013893080446962877,823.221529980754,18.35705525645328,190.7644082341696,3795.8047988888657,0.4873161253543117,0.7816149455667428
Wasuponda,0.00013007046544704552,0.03278993508099006,-0.059339760647785775,-0.001691788096005524,0.05878322540577205,0.013455566676398372,819.503842200928,20.11897754122162,160.7811182650188,3732.228864981341,0.42967182165848816,0.8806841604089487
Baebunta,0.001652966649475601,0.031545322099334666,0.08094770563425266,0.0027808805553456955,0.3352860989129644,0.014639929771023383,854.5101320706796,21.997814526323843,283.88384708919284,3264.211511999101,0.4804759676549779,1.11924173478801
Bone-Bone,0.01836806169008472,0.04579798284422935,-0.033793394909751646,0.02310040370904907,0.38072633056098565,0.011356114649303457,108.0,30.420242309570312,230.6475830078125,2984.0526404542848,0.8149909377098083,0.9965382743005328
Limbong,-0.006027859698763021,0.012639427147749769,-0.03941412095131288,0.008778526805181507,0.4268225083790522,0.016057376031536848,1421.5331379557967,18.80381586405697,149.88283622813742,3168.014590222786,0.4769149187350418,0.7953998261373859
Masamba,-0.0036058162494067405,0.032957280369550375,-0.0414463178349177,0.002877478615065109,0.41827373908261284,0.01737236819526893,1259.084484911955,22.068264831452353,189.1498971542024,3222.4953571463384,0.5043138686873574,0.7774406153092488
Rampi,-0.013485201311416353,-0.04882685555188767,-0.07353707411816082,-0.0024715495758718875,-0.34811482043598807,-0.0015339936524528515,1435.8761897492593,15.850948196471514,180.26673080112053,3158.967433060725,0.38767185484417543,0.7422506511680745
Sabbang,-0.005062856642961281,0.025929773519996892,-0.07629869114324773,-0.0016421373719178974,-0.3855086344366501,0.003725074185098692,857.8533452751154,25.088980651451685,202.44155386292962,3458.1259370778853,0.36941462026265576,0.6946516060017977
Seko,-0.005712447189370319,0.01094682337864743,-0.04784890136600581,0.025366028255565463,0.2517119996820749,0.013016046268966786,1440.1580932758006,19.350539504787594,190.73367891002925,2866.72713647189,0.43660520301065403,0.9405889064905865
Sukamaju,0.010483499009736679,0.026149623086473832,-0.03872418539099491,0.008375451926240333,0.41575777128237135,0.011550403413449125,292.0739178588161,21.387276163406103,232.69351147178315,3706.243141774918,0.545524907934448,0.5111707092043056
