NAME_2,NAME_3,elevasi,slope,aspect,twi,curah_hujan,ndvi,flood_pct,label_banjir,jarak_sungai_km
Luwu,Bajo,99.62587079204206,9.909443580426876,150.09617521906873,15.568533244355953,3017.1734612449472,0.604637512132872,10.2768,1,1.013830589060744
Luwu,Bajo Barat,320.342450212966,18.34648794140101,168.36840404615106,14.72894169295295,3048.0083662577053,0.7072451299614178,1.0163,0,1.0718505411306318
Luwu,Bassesangtempe,821.4759381344568,22.621155428851655,172.6787683827782,14.3951543247166,2972.382703167013,0.6623110573803754,0.0622,0,1.3621949905837965
Luwu,Belopa,29.7301587024673,5.360079473242868,161.65165826538436,16.067228732460645,2944.1015598877166,0.4757202811356327,23.8953,1,1.5911250825202528
Luwu,Belopa Utara,13.450292238575477,3.99230817270382,160.72077765240434,16.331212105080894,3005.8179020989205,0.36508116185713024,37.5194,1,0.6793676517727596
Luwu,Bua,334.0264193176511,14.553525119199051,155.61241781561904,15.08286059618905,3060.7564543029116,0.5986466669012036,4.2124,0,1.2580128657455203
Luwu,Bupon,232.28590635925656,14.209974115009336,157.35186756604986,15.341068119633853,3122.327251613104,0.6745078292581421,1.0435,0,0.03919875067773293
Luwu,Kamanre,15.477400104119633,3.1783891656316166,160.1061012520456,16.709497695543956,3078.375200902311,0.4380578473918548,27.9187,1,0.6198080423047295
Luwu,Lamasi,27.964983327634723,4.552568773012724,163.89102139565423,16.62698911852178,3824.587781216301,0.5768903401837455,4.5761,0,1.1775356466231972
Luwu,Lamasi Timur,11.785459127754208,3.1699652243590224,157.01451299399446,16.87756318007665,3661.6636595550667,0.5127154238128976,26.7777,1,1.4464396646206434
Luwu,Larompong,425.44859824308793,16.3134382424951,156.06988289039742,14.769084474626034,2844.970785136631,0.5932891710833965,2.9832,0,0.1633471898806179
Luwu,Larompong Selatan,116.65604607248027,12.604083490246115,167.13209136911297,15.22623707827497,2854.9635851111243,0.65647380685652,7.055,1,1.715459154358634
Luwu,Latimojong,1352.6864512192135,24.65924616201652,151.33610898775268,14.202115761987443,2769.4885014671463,0.5358420485420579,0.0363,0,1.8640784614965777
Luwu,Ponrang,173.46330592624238,9.572018898715635,158.50366581562346,15.569754978005129,3060.166431557631,0.4683329912477917,24.1856,1,0.6230754301996149
Luwu,Ponrang Selatan,15.470029214159407,3.8983237141069593,162.92950728509499,16.430595709699748,3098.8470378109873,0.41569299158672457,28.0779,1,0.43681671826593815
Luwu,Suli,77.40245887694671,9.616325039349853,164.68334564179818,15.786801840991464,2858.4550453148913,0.5693008284698509,18.1657,1,1.4002581936281058
Luwu,Suli Barat,589.8149427197565,19.03266165043149,154.5611784622303,14.508426876730253,2802.9049576368443,0.59071510412881,1.1579,0,0.03750851243940451
Luwu,Walenrang,359.5442291810382,14.431109624032434,147.6500942293376,15.139439210162964,3458.6486228592444,0.6821022272467032,4.9794,0,0.7231874565187805
Luwu,Walenrang Barat,1003.2239269351862,24.72786544425519,165.10895429736226,14.273159998833934,3413.193480902621,0.7349679224578688,0.0505,0,1.4103339812112132
Luwu,Walenrang Timur,18.584555719467033,3.99869005472774,160.48013427170443,16.3633976215183,3571.4331370638674,0.5686449040613312,18.6829,1,0.2747217083132529
Luwu,Walenrang Utara,526.4917834706959,18.717479243374534,153.2252485591277,14.702205683679635,3623.53976164258,0.7188871575633402,0.64,0,1.489754551956621
Luwu Timur,Angkona,148.9748757993592,9.650760188770837,174.98476745773263,15.756180334199861,3994.5656236456407,0.6710451450273279,10.2221,1,0.8630339579479811
Luwu Timur,Burau,518.410700839073,15.676578514436548,163.8225483470897,15.172608467310834,3727.2851744731365,0.6501832993235866,1.575,0,0.5446096119353029
Luwu Timur,Danau,319.12861947328463,0.23796808309698023,2.966776200021495,20.68739831432257,3752.3323086548535,-0.10523645660430964,99.395,1,0.7038968335814761
Luwu Timur,Kalaena,175.57129439604452,8.043853751758865,170.30807014809633,16.066764604100573,3903.5629161996703,0.6684419195148537,2.0981,0,0.04466655839328717
Luwu Timur,Malili,268.02368485310916,13.19235315238065,180.89289325283164,15.35434926774757,3872.6321510235325,0.6733277072588433,11.3081,1,0.2421680551634928
Luwu Timur,Mangkutana,1096.5847438121386,17.883488959091643,165.8698920195163,14.868818062882251,3385.203811989404,0.7796774520557744,0.5162,0,0.06387884941920852
Luwu Timur,Nuha,684.2248076256587,12.637590331589788,147.17839122600176,15.822565693892418,3728.0438037397043,0.5855198087170459,18.0714,1,0.40999890717568166
Luwu Timur,Tomoni,1209.0982721122427,15.781271879101713,143.46766754392914,14.955114695156984,3516.538621693474,0.7364737863088915,1.0811,0,0.05651228850030508
Luwu Timur,Tomoni Timur,25.701977058270074,4.601168593181378,163.744624903488,16.769842045114075,4153.309553496182,0.593475853256945,9.0411,1,0.6976079575349128
Luwu Timur,Towuti,554.1809771736217,12.854983300794753,179.28842416937368,15.176826593247815,3668.3451334275633,0.6991709940537728,2.8961,0,0.20554090989192533
Luwu Timur,Wasuponda,780.0812167153259,15.524508985451618,171.03868197075613,14.928019634227415,3644.661721873981,0.7684047588584697,0.6338,0,1.3143638512900548
Luwu Timur,Wotu,13.104221420465608,2.9758681738481045,157.79873441753827,16.81629092222671,4077.8962712629577,0.5423033177449007,23.8727,1,1.0540083989219202
Luwu Utara,Baebunta,131.4737897050314,6.1938405782251165,157.09303331431602,16.415510937327795,3808.551135324047,0.6543239964295888,5.3796,1,1.730915611161571
Luwu Utara,Bone-Bone,344.3639462664631,11.400472988600278,166.09054985216923,15.680794577408706,3775.110566919399,0.530012029567458,11.5149,1,0.5838199613691972
Luwu Utara,Limbong,1741.813203056678,18.796357094172787,170.11097843932419,14.577622414745727,3122.223672616482,0.7761730643133252,0.0023,0,0.49558788055639014
Luwu Utara,Malangke,10.048676461718534,2.267210977306465,153.694691952487,17.033821348704866,3860.5637763979935,0.5904074298817149,17.9012,1,1.0341567104125045
Luwu Utara,Malangke Barat,11.495039683688855,2.657729416868607,156.9994914161188,16.90561759938648,3813.007301145298,0.5809349510466955,18.9218,1,1.072705929104223
Luwu Utara,Mappedeceng,397.7331250868593,12.386296864686066,183.2122214801672,15.622599033101407,3612.9060028729195,0.646112233652384,1.8315,0,0.12102400285108554
Luwu Utara,Masamba,1111.597979913407,20.33536500131812,178.05175719292274,14.649070569365717,3247.026450217667,0.7384163262992447,0.6554,0,0.007991676237198488
Luwu Utara,Rampi,1572.968446138746,15.955917856733178,169.8072872016331,14.907325036602538,2805.9577458625454,0.8086332213536048,0.0646,0,0.2305254876687888
Luwu Utara,Sabbang,663.3364351550824,19.103271495923824,169.4667415869087,14.879443789225325,3541.4906611234123,0.7515365177707688,1.3584,0,0.0844729150443711
Luwu Utara,Seko,1580.3805069627176,17.359844783501213,183.54691358699807,14.75830001873602,2626.8048806082284,0.8002850234425065,0.0791,0,0.4784817896558525
Luwu Utara,Sukamaju,366.91244724982727,10.245625890709372,181.14195784794907,15.896660716722447,3667.964337787436,0.62759244007236,1.1437,0,0.5674315721919266
